Player,Nationality,Club,Season,Round,Opponent,Minute,Goal_Type,Venue,Goals_In_Match
Alessandro Del Piero,Italy,Juventus,2012-13,Group Stage,Liverpool,48,Free Kick,Home,1
Fernando Torres,Spain,Liverpool,2020-21,Round Of 16,Benfica,17,Right Foot,Home,2
Harry Kane,England,Tottenham Hotspur,2021-22,Group Stage,Real Madrid,61,Penalty,Away,3
Luis Suarez,Uruguay,Barcelona,2012-13,Semi-Final,Inter Milan,14,Header,Away,3
Bukayo Saka,England,Arsenal,2015-16,Semi-Final,Atletico Madrid,54,Penalty,Away,3
Thomas Muller,Germany,Bayern Munich,2020-21,Round Of 16,Arsenal,21,Header,Home,1
Joshua Kimmich,Germany,Bayern Munich,2016-17,Group Stage,Napoli,64,Penalty,Home,2
Vinicius Junior,Brazil,Real Madrid,2021-22,Semi-Final,Inter Milan,67,Header,Home,1
Mohamed Salah,Egypt,Liverpool,2010-11,Round Of 16,Real Madrid,36,Right Foot,Away,3
Riyad Mahrez,Algeria,Manchester City,2015-16,Semi-Final,Borussia Dortmund,88,Header,Away,2
Alfredo Di Stefano,Argentina,Real Madrid,2013-14,Round Of 16,Paris Saint-Germain,66,Free Kick,Home,3
Didier Drogba,Ivory Coast,Chelsea,2022-23,Group Stage,Manchester City,20,Header,Home,1
Edinson Cavani,Uruguay,Paris Saint-Germain,2010-11,Final,Bayern Munich,60,Right Foot,Away,3
Filippo Inzaghi,Italy,Ac Milan,2019-20,Quarter-Final,Atletico Madrid,37,Header,Away,2
Harry Kane,England,Tottenham Hotspur,2019-20,Group Stage,Napoli,91,Header,Home,1
Bukayo Saka,England,Arsenal,2016-17,Quarter-Final,Paris Saint-Germain,53,Header,Away,2
Karim Benzema,France,Real Madrid,2014-15,Group Stage,Manchester City,50,Right Foot,Away,1
Karim Benzema,France,Real Madrid,2018-19,Group Stage,Atletico Madrid,22,Right Foot,Away,1
Andriy Shevchenko,Ukraine,Ac Milan,2015-16,Group Stage,Napoli,10,Right Foot,Home,1
Toni Kroos,Germany,Real Madrid,2012-13,Group Stage,Manchester United,45,Right Foot,Away,2
Sadio Mane,Senegal,Liverpool,2018-19,Round Of 16,Inter Milan,71,Header,Home,1
Edinson Cavani,Uruguay,Paris Saint-Germain,2020-21,Group Stage,Real Madrid,7,Free Kick,Home,1
Didier Drogba,Ivory Coast,Chelsea,2015-16,Group Stage,Bayern Munich,78,Right Foot,Away,3
Edinson Cavani,Uruguay,Paris Saint-Germain,2011-12,Final,Liverpool,73,Right Foot,Home,1
Joshua Kimmich,Germany,Bayern Munich,2015-16,Group Stage,Paris Saint-Germain,12,Free Kick,Away,1
Alfredo Di Stefano,Argentina,Real Madrid,2018-19,Quarter-Final,Borussia Dortmund,4,Right Foot,Away,3
Harry Kane,England,Bayern Munich,2014-15,Group Stage,Atletico Madrid,86,Header,Home,3
Kevin De Bruyne,Belgium,Manchester City,2018-19,Group Stage,Juventus,52,Free Kick,Home,1
Cristiano Ronaldo,Portugal,Juventus,2011-12,Round Of 16,Barcelona,74,Header,Away,3
Zlatan Ibrahimovic,Sweden,Ac Milan,2011-12,Group Stage,Tottenham Hotspur,52,Header,Away,1
Ousmane Dembele,France,Barcelona,2016-17,Final,Napoli,63,Header,Away,1
Bukayo Saka,England,Arsenal,2021-22,Round Of 16,Bayern Munich,55,Left Foot,Away,1
Sergio Aguero,Argentina,Manchester City,2010-11,Group Stage,Barcelona,79,Penalty,Away,2
Luka Modric,Croatia,Real Madrid,2010-11,Quarter-Final,Manchester City,1,Right Foot,Home,3
Paulo Dybala,Argentina,Juventus,2017-18,Round Of 16,Borussia Dortmund,18,Penalty,Away,2
Robert Lewandowski,Poland,Bayern Munich,2017-18,Round Of 16,Atletico Madrid,15,Penalty,Home,1
Victor Osimhen,Nigeria,Napoli,2010-11,Group Stage,Borussia Dortmund,64,Penalty,Away,1
Mohamed Salah,Egypt,Liverpool,2014-15,Group Stage,Manchester United,76,Right Foot,Away,1
Alfredo Di Stefano,Argentina,Real Madrid,2021-22,Group Stage,Liverpool,54,Right Foot,Away,2
Mohamed Salah,Egypt,Liverpool,2016-17,Group Stage,Sevilla,78,Free Kick,Away,2
Kylian Mbappe,France,Paris Saint-Germain,2018-19,Final,Manchester City,44,Right Foot,Away,1
Vinicius Junior,Brazil,Real Madrid,2019-20,Final,Ac Milan,82,Penalty,Away,1
Joshua Kimmich,Germany,Bayern Munich,2023-24,Group Stage,Benfica,48,Left Foot,Away,2
Sergio Aguero,Argentina,Manchester City,2022-23,Round Of 16,Barcelona,80,Right Foot,Away,3
Filippo Inzaghi,Italy,Ac Milan,2021-22,Group Stage,Real Madrid,30,Penalty,Away,2
Zlatan Ibrahimovic,Sweden,Inter Milan,2018-19,Round Of 16,Borussia Dortmund,68,Penalty,Home,2
Jude Bellingham,England,Real Madrid,2017-18,Quarter-Final,Borussia Dortmund,61,Left Foot,Home,1
Neymar Jr,Brazil,Paris Saint-Germain,2023-24,Group Stage,Liverpool,66,Header,Home,2
Luka Modric,Croatia,Real Madrid,2023-24,Group Stage,Inter Milan,46,Right Foot,Away,1
Memphis Depay,Netherlands,Barcelona,2022-23,Semi-Final,Manchester City,70,Left Foot,Home,1
Fernando Torres,Spain,Liverpool,2012-13,Round Of 16,Manchester United,58,Header,Home,1
Fernando Torres,Spain,Liverpool,2016-17,Round Of 16,Borussia Dortmund,65,Right Foot,Away,2
Victor Osimhen,Nigeria,Napoli,2012-13,Quarter-Final,Manchester United,29,Free Kick,Away,1
Raul Gonzalez,Spain,Real Madrid,2016-17,Group Stage,Juventus,54,Header,Away,1
Luis Suarez,Uruguay,Barcelona,2021-22,Group Stage,Arsenal,48,Header,Away,1
Didier Drogba,Ivory Coast,Chelsea,2011-12,Group Stage,Porto,7,Right Foot,Away,1
Mohamed Salah,Egypt,Liverpool,2017-18,Final,Porto,38,Left Foot,Home,1
Alfredo Di Stefano,Argentina,Real Madrid,2019-20,Group Stage,Barcelona,95,Left Foot,Away,1
Bukayo Saka,England,Arsenal,2018-19,Round Of 16,Chelsea,58,Penalty,Away,1
Mohamed Salah,Egypt,Liverpool,2020-21,Group Stage,Barcelona,52,Penalty,Away,1
Fernando Torres,Spain,Liverpool,2010-11,Round Of 16,Chelsea,52,Penalty,Away,3
Ruud Van Nistelrooy,Netherlands,Real Madrid,2018-19,Quarter-Final,Napoli,51,Penalty,Away,1
Luis Suarez,Uruguay,Barcelona,2010-11,Semi-Final,Ajax,54,Header,Home,1
Bernardo Silva,Portugal,Manchester City,2022-23,Round Of 16,Tottenham Hotspur,70,Penalty,Away,1
Wayne Rooney,England,Manchester United,2013-14,Quarter-Final,Inter Milan,27,Right Foot,Away,2
Kevin De Bruyne,Belgium,Manchester City,2018-19,Round Of 16,Tottenham Hotspur,18,Left Foot,Home,2
Harry Kane,England,Bayern Munich,2013-14,Semi-Final,Manchester City,77,Left Foot,Away,2
Jude Bellingham,England,Real Madrid,2014-15,Semi-Final,Inter Milan,1,Penalty,Away,2
Luis Suarez,Uruguay,Atletico Madrid,2023-24,Semi-Final,Porto,3,Right Foot,Away,1
Zlatan Ibrahimovic,Sweden,Ac Milan,2013-14,Final,Benfica,78,Header,Away,1
Ruud Van Nistelrooy,Netherlands,Manchester United,2010-11,Semi-Final,Ajax,91,Header,Away,2
Toni Kroos,Germany,Real Madrid,2018-19,Final,Arsenal,74,Penalty,Away,3
Edinson Cavani,Uruguay,Paris Saint-Germain,2012-13,Round Of 16,Atletico Madrid,25,Header,Away,1
Raul Gonzalez,Spain,Real Madrid,2012-13,Group Stage,Chelsea,21,Left Foot,Away,1
Bukayo Saka,England,Arsenal,2013-14,Group Stage,Manchester City,28,Free Kick,Away,1
Ousmane Dembele,France,Barcelona,2014-15,Final,Liverpool,43,Penalty,Away,3
Joshua Kimmich,Germany,Bayern Munich,2016-17,Final,Manchester United,64,Header,Home,1
Edinson Cavani,Uruguay,Paris Saint-Germain,2016-17,Group Stage,Napoli,66,Header,Home,1
Thomas Muller,Germany,Bayern Munich,2016-17,Group Stage,Paris Saint-Germain,31,Header,Home,1
Antoine Griezmann,France,Atletico Madrid,2021-22,Semi-Final,Tottenham Hotspur,59,Right Foot,Home,2
Gareth Bale,Wales,Real Madrid,2011-12,Group Stage,Manchester United,2,Free Kick,Home,1
Alessandro Del Piero,Italy,Juventus,2017-18,Group Stage,Inter Milan,13,Header,Home,1
Alfredo Di Stefano,Argentina,Real Madrid,2019-20,Final,Manchester United,49,Left Foot,Away,1
Cristiano Ronaldo,Portugal,Manchester United,2010-11,Semi-Final,Borussia Dortmund,55,Penalty,Away,2
Bernardo Silva,Portugal,Manchester City,2020-21,Group Stage,Paris Saint-Germain,8,Penalty,Home,1
Lionel Messi,Argentina,Paris Saint-Germain,2018-19,Round Of 16,Tottenham Hotspur,10,Penalty,Away,2
Toni Kroos,Germany,Real Madrid,2019-20,Final,Tottenham Hotspur,11,Right Foot,Home,2
Sergio Aguero,Argentina,Manchester City,2010-11,Semi-Final,Tottenham Hotspur,84,Header,Home,3
Andriy Shevchenko,Ukraine,Ac Milan,2012-13,Group Stage,Manchester City,79,Free Kick,Home,1
Mohamed Salah,Egypt,Liverpool,2018-19,Group Stage,Real Madrid,39,Free Kick,Away,1
Paulo Dybala,Argentina,Juventus,2011-12,Group Stage,Inter Milan,30,Penalty,Away,1
Bukayo Saka,England,Arsenal,2013-14,Round Of 16,Barcelona,59,Penalty,Away,2
Antoine Griezmann,France,Atletico Madrid,2021-22,Group Stage,Manchester United,92,Header,Home,3
Ruud Van Nistelrooy,Netherlands,Manchester United,2021-22,Final,Benfica,60,Left Foot,Home,1
Joshua Kimmich,Germany,Bayern Munich,2017-18,Semi-Final,Manchester United,36,Right Foot,Away,3
Erling Haaland,Norway,Manchester City,2019-20,Round Of 16,Real Madrid,48,Penalty,Home,1
Victor Osimhen,Nigeria,Napoli,2017-18,Quarter-Final,Atletico Madrid,10,Free Kick,Away,1
Fernando Torres,Spain,Liverpool,2020-21,Round Of 16,Ajax,19,Header,Home,2
Kevin De Bruyne,Belgium,Manchester City,2021-22,Group Stage,Real Madrid,34,Right Foot,Home,1
Mohamed Salah,Egypt,Liverpool,2022-23,Final,Ajax,46,Right Foot,Away,1
Kylian Mbappe,France,Paris Saint-Germain,2018-19,Final,Chelsea,29,Left Foot,Home,2
Riyad Mahrez,Algeria,Manchester City,2021-22,Quarter-Final,Inter Milan,25,Header,Away,1
Neymar Jr,Brazil,Barcelona,2023-24,Round Of 16,Porto,70,Free Kick,Away,1
Sadio Mane,Senegal,Liverpool,2015-16,Group Stage,Manchester City,39,Penalty,Home,3
Ousmane Dembele,France,Paris Saint-Germain,2022-23,Quarter-Final,Manchester United,37,Penalty,Away,2
Karim Benzema,France,Real Madrid,2019-20,Round Of 16,Ajax,34,Right Foot,Away,2
Luis Suarez,Uruguay,Barcelona,2018-19,Final,Bayern Munich,8,Free Kick,Away,2
Filippo Inzaghi,Italy,Ac Milan,2011-12,Group Stage,Bayern Munich,86,Header,Away,1
Alessandro Del Piero,Italy,Juventus,2012-13,Group Stage,Liverpool,88,Left Foot,Home,1
Karim Benzema,France,Real Madrid,2012-13,Group Stage,Tottenham Hotspur,61,Free Kick,Away,1
Riyad Mahrez,Algeria,Manchester City,2020-21,Group Stage,Barcelona,50,Header,Away,2
Sergio Aguero,Argentina,Manchester City,2022-23,Group Stage,Napoli,53,Right Foot,Home,1
Erling Haaland,Norway,Borussia Dortmund,2012-13,Round Of 16,Paris Saint-Germain,79,Header,Away,3
Thomas Muller,Germany,Bayern Munich,2020-21,Group Stage,Borussia Dortmund,79,Header,Home,1
Lionel Messi,Argentina,Barcelona,2017-18,Quarter-Final,Real Madrid,21,Header,Home,1
Didier Drogba,Ivory Coast,Chelsea,2015-16,Group Stage,Porto,49,Penalty,Away,3
Bukayo Saka,England,Arsenal,2018-19,Group Stage,Ac Milan,88,Free Kick,Away,1
Vinicius Junior,Brazil,Real Madrid,2022-23,Quarter-Final,Liverpool,34,Penalty,Away,3
Joshua Kimmich,Germany,Bayern Munich,2022-23,Group Stage,Ac Milan,58,Penalty,Away,3
Memphis Depay,Netherlands,Barcelona,2012-13,Group Stage,Paris Saint-Germain,79,Free Kick,Home,2
Erling Haaland,Norway,Manchester City,2018-19,Final,Manchester United,27,Penalty,Home,1
Luka Modric,Croatia,Real Madrid,2013-14,Final,Ac Milan,23,Penalty,Away,1
Thomas Muller,Germany,Bayern Munich,2020-21,Round Of 16,Arsenal,64,Penalty,Away,1
Ruud Van Nistelrooy,Netherlands,Real Madrid,2020-21,Round Of 16,Borussia Dortmund,38,Penalty,Away,1
Luka Modric,Croatia,Real Madrid,2015-16,Group Stage,Sevilla,33,Penalty,Home,1
Didier Drogba,Ivory Coast,Chelsea,2017-18,Quarter-Final,Bayern Munich,24,Penalty,Home,1
Bernardo Silva,Portugal,Manchester City,2013-14,Semi-Final,Borussia Dortmund,80,Free Kick,Away,2
Zlatan Ibrahimovic,Sweden,Barcelona,2021-22,Final,Inter Milan,43,Penalty,Away,1
Didier Drogba,Ivory Coast,Chelsea,2013-14,Final,Ac Milan,66,Right Foot,Home,1
Gareth Bale,Wales,Real Madrid,2019-20,Semi-Final,Juventus,61,Right Foot,Away,1
Edinson Cavani,Uruguay,Paris Saint-Germain,2019-20,Semi-Final,Tottenham Hotspur,49,Free Kick,Home,1
Karim Benzema,France,Real Madrid,2019-20,Group Stage,Manchester City,1,Penalty,Away,1
Lionel Messi,Argentina,Paris Saint-Germain,2020-21,Semi-Final,Benfica,28,Right Foot,Away,1
Ousmane Dembele,France,Paris Saint-Germain,2015-16,Group Stage,Benfica,64,Penalty,Away,1
Paulo Dybala,Argentina,Juventus,2018-19,Group Stage,Inter Milan,34,Right Foot,Away,1
Andriy Shevchenko,Ukraine,Chelsea,2012-13,Group Stage,Benfica,76,Right Foot,Home,3
Gareth Bale,Wales,Real Madrid,2017-18,Final,Napoli,40,Right Foot,Home,1
Joshua Kimmich,Germany,Bayern Munich,2013-14,Final,Manchester United,27,Header,Home,2
Joshua Kimmich,Germany,Bayern Munich,2011-12,Group Stage,Sevilla,78,Header,Home,1
Neymar Jr,Brazil,Barcelona,2012-13,Round Of 16,Sevilla,26,Header,Away,2
Zlatan Ibrahimovic,Sweden,Barcelona,2010-11,Group Stage,Bayern Munich,29,Header,Away,1
Antoine Griezmann,France,Atletico Madrid,2020-21,Round Of 16,Porto,78,Left Foot,Away,1
Cristiano Ronaldo,Portugal,Real Madrid,2018-19,Quarter-Final,Sevilla,54,Header,Away,3
Antoine Griezmann,France,Atletico Madrid,2022-23,Round Of 16,Chelsea,84,Right Foot,Home,1
Lionel Messi,Argentina,Paris Saint-Germain,2014-15,Round Of 16,Benfica,61,Header,Away,1
Kylian Mbappe,France,Real Madrid,2021-22,Quarter-Final,Liverpool,28,Free Kick,Away,1
Wayne Rooney,England,Manchester United,2023-24,Round Of 16,Atletico Madrid,3,Free Kick,Away,1
Paulo Dybala,Argentina,Juventus,2019-20,Group Stage,Tottenham Hotspur,44,Right Foot,Away,2
Fernando Torres,Spain,Liverpool,2013-14,Group Stage,Ac Milan,64,Header,Home,1
Fernando Torres,Spain,Liverpool,2023-24,Round Of 16,Ac Milan,79,Header,Away,1
Fernando Torres,Spain,Chelsea,2010-11,Semi-Final,Atletico Madrid,64,Free Kick,Home,1
Sergio Aguero,Argentina,Manchester City,2020-21,Semi-Final,Juventus,19,Right Foot,Home,1
Neymar Jr,Brazil,Barcelona,2010-11,Quarter-Final,Atletico Madrid,3,Header,Home,2
Erling Haaland,Norway,Borussia Dortmund,2015-16,Round Of 16,Manchester United,89,Header,Away,3
Cristiano Ronaldo,Portugal,Juventus,2014-15,Group Stage,Porto,83,Free Kick,Away,1
Zlatan Ibrahimovic,Sweden,Paris Saint-Germain,2016-17,Group Stage,Napoli,22,Right Foot,Home,1
Jude Bellingham,England,Real Madrid,2015-16,Final,Ac Milan,82,Right Foot,Home,2
Robert Lewandowski,Poland,Borussia Dortmund,2023-24,Group Stage,Benfica,6,Right Foot,Away,1
Memphis Depay,Netherlands,Barcelona,2022-23,Final,Napoli,25,Right Foot,Away,2
Andriy Shevchenko,Ukraine,Chelsea,2011-12,Group Stage,Paris Saint-Germain,71,Free Kick,Home,1
Thomas Muller,Germany,Bayern Munich,2020-21,Final,Napoli,19,Left Foot,Away,3
Julian Alvarez,Argentina,Manchester City,2011-12,Semi-Final,Real Madrid,49,Right Foot,Away,1
Gareth Bale,Wales,Real Madrid,2019-20,Final,Chelsea,94,Right Foot,Home,1
Thomas Muller,Germany,Bayern Munich,2019-20,Final,Ac Milan,72,Right Foot,Away,1
Thomas Muller,Germany,Bayern Munich,2019-20,Final,Ajax,80,Header,Home,2
Filippo Inzaghi,Italy,Ac Milan,2020-21,Final,Real Madrid,37,Header,Home,1
Bernardo Silva,Portugal,Manchester City,2022-23,Quarter-Final,Ajax,56,Right Foot,Home,1
Cristiano Ronaldo,Portugal,Manchester United,2014-15,Semi-Final,Tottenham Hotspur,27,Header,Away,1
Toni Kroos,Germany,Real Madrid,2010-11,Group Stage,Manchester United,25,Left Foot,Away,3
Luis Suarez,Uruguay,Atletico Madrid,2019-20,Final,Paris Saint-Germain,89,Left Foot,Home,2
Kevin De Bruyne,Belgium,Manchester City,2010-11,Quarter-Final,Arsenal,64,Header,Away,1
Jude Bellingham,England,Real Madrid,2017-18,Quarter-Final,Porto,3,Penalty,Away,1
Didier Drogba,Ivory Coast,Chelsea,2014-15,Round Of 16,Sevilla,19,Right Foot,Away,3
Memphis Depay,Netherlands,Barcelona,2014-15,Round Of 16,Juventus,27,Header,Home,1
Sergio Aguero,Argentina,Manchester City,2015-16,Quarter-Final,Paris Saint-Germain,23,Penalty,Home,3
Wayne Rooney,England,Manchester United,2016-17,Group Stage,Ac Milan,26,Penalty,Home,1
Filippo Inzaghi,Italy,Ac Milan,2018-19,Round Of 16,Ajax,31,Left Foot,Home,2
Neymar Jr,Brazil,Barcelona,2012-13,Round Of 16,Ajax,23,Penalty,Away,1
Ruud Van Nistelrooy,Netherlands,Real Madrid,2023-24,Group Stage,Manchester United,83,Right Foot,Home,2
Neymar Jr,Brazil,Barcelona,2014-15,Group Stage,Atletico Madrid,13,Penalty,Away,1
Luis Suarez,Uruguay,Atletico Madrid,2011-12,Group Stage,Benfica,75,Left Foot,Home,1
Wayne Rooney,England,Manchester United,2014-15,Group Stage,Napoli,83,Penalty,Away,1
Joshua Kimmich,Germany,Bayern Munich,2020-21,Round Of 16,Juventus,95,Penalty,Away,1
Toni Kroos,Germany,Real Madrid,2022-23,Quarter-Final,Ajax,61,Header,Away,2
Antoine Griezmann,France,Atletico Madrid,2015-16,Semi-Final,Napoli,33,Right Foot,Away,1
Cristiano Ronaldo,Portugal,Manchester United,2020-21,Group Stage,Borussia Dortmund,23,Penalty,Away,3
Erling Haaland,Norway,Manchester City,2019-20,Round Of 16,Barcelona,79,Header,Home,2
Andriy Shevchenko,Ukraine,Chelsea,2017-18,Group Stage,Arsenal,35,Header,Away,3
Gareth Bale,Wales,Real Madrid,2017-18,Quarter-Final,Paris Saint-Germain,42,Penalty,Away,3
Andriy Shevchenko,Ukraine,Ac Milan,2022-23,Group Stage,Chelsea,71,Penalty,Home,1
Sadio Mane,Senegal,Bayern Munich,2011-12,Round Of 16,Inter Milan,75,Penalty,Away,2
Ruud Van Nistelrooy,Netherlands,Real Madrid,2020-21,Quarter-Final,Benfica,8,Header,Home,3
Sergio Aguero,Argentina,Manchester City,2017-18,Quarter-Final,Manchester United,23,Penalty,Home,1
Alfredo Di Stefano,Argentina,Real Madrid,2020-21,Quarter-Final,Bayern Munich,3,Left Foot,Home,1
Robert Lewandowski,Poland,Barcelona,2020-21,Round Of 16,Real Madrid,58,Header,Home,3
Toni Kroos,Germany,Real Madrid,2019-20,Round Of 16,Manchester City,44,Penalty,Home,1
Alfredo Di Stefano,Argentina,Real Madrid,2020-21,Round Of 16,Tottenham Hotspur,44,Penalty,Home,1
Didier Drogba,Ivory Coast,Chelsea,2012-13,Group Stage,Sevilla,77,Right Foot,Away,1
Julian Alvarez,Argentina,Manchester City,2013-14,Group Stage,Chelsea,10,Penalty,Away,2
Ruud Van Nistelrooy,Netherlands,Real Madrid,2021-22,Group Stage,Barcelona,12,Penalty,Away,1
Fernando Torres,Spain,Chelsea,2019-20,Group Stage,Napoli,40,Right Foot,Home,1
Raul Gonzalez,Spain,Real Madrid,2021-22,Final,Barcelona,61,Header,Away,2
Vinicius Junior,Brazil,Real Madrid,2023-24,Group Stage,Chelsea,4,Header,Away,1
Julian Alvarez,Argentina,Manchester City,2017-18,Group Stage,Tottenham Hotspur,72,Header,Home,3
Mohamed Salah,Egypt,Liverpool,2012-13,Round Of 16,Borussia Dortmund,61,Penalty,Home,1
Toni Kroos,Germany,Real Madrid,2017-18,Quarter-Final,Inter Milan,11,Right Foot,Away,1
Alfredo Di Stefano,Argentina,Real Madrid,2016-17,Group Stage,Porto,12,Right Foot,Home,1
Cristiano Ronaldo,Portugal,Real Madrid,2021-22,Round Of 16,Liverpool,47,Penalty,Home,1
Andriy Shevchenko,Ukraine,Ac Milan,2021-22,Final,Manchester City,54,Header,Away,1
Filippo Inzaghi,Italy,Ac Milan,2020-21,Group Stage,Manchester City,27,Penalty,Away,2
Vinicius Junior,Brazil,Real Madrid,2010-11,Quarter-Final,Atletico Madrid,76,Header,Home,1
Neymar Jr,Brazil,Paris Saint-Germain,2010-11,Quarter-Final,Tottenham Hotspur,65,Right Foot,Home,1
Memphis Depay,Netherlands,Barcelona,2012-13,Final,Liverpool,90,Header,Home,1
Jude Bellingham,England,Real Madrid,2015-16,Group Stage,Porto,16,Free Kick,Away,1
Luis Suarez,Uruguay,Atletico Madrid,2019-20,Round Of 16,Chelsea,40,Left Foot,Away,1
Memphis Depay,Netherlands,Barcelona,2020-21,Group Stage,Arsenal,41,Header,Away,1
Zlatan Ibrahimovic,Sweden,Paris Saint-Germain,2012-13,Semi-Final,Bayern Munich,5,Left Foot,Away,1
Filippo Inzaghi,Italy,Ac Milan,2015-16,Semi-Final,Ajax,83,Left Foot,Home,3
Gareth Bale,Wales,Real Madrid,2020-21,Quarter-Final,Bayern Munich,77,Header,Home,2
Antoine Griezmann,France,Atletico Madrid,2023-24,Group Stage,Arsenal,53,Right Foot,Away,3
Bukayo Saka,England,Arsenal,2017-18,Semi-Final,Tottenham Hotspur,28,Left Foot,Home,2
Riyad Mahrez,Algeria,Manchester City,2021-22,Group Stage,Arsenal,22,Left Foot,Away,3
Joshua Kimmich,Germany,Bayern Munich,2023-24,Final,Manchester City,32,Left Foot,Home,1
Bukayo Saka,England,Arsenal,2019-20,Final,Tottenham Hotspur,81,Penalty,Away,1
Luka Modric,Croatia,Real Madrid,2011-12,Group Stage,Bayern Munich,57,Penalty,Away,3
Fernando Torres,Spain,Liverpool,2023-24,Final,Bayern Munich,16,Right Foot,Away,2
Robert Lewandowski,Poland,Bayern Munich,2020-21,Semi-Final,Liverpool,42,Left Foot,Home,3
Jude Bellingham,England,Real Madrid,2017-18,Final,Chelsea,63,Right Foot,Home,1
Bukayo Saka,England,Arsenal,2017-18,Final,Chelsea,45,Left Foot,Home,1
Kylian Mbappe,France,Real Madrid,2010-11,Round Of 16,Manchester United,61,Penalty,Home,3
Ruud Van Nistelrooy,Netherlands,Manchester United,2022-23,Group Stage,Borussia Dortmund,18,Left Foot,Away,1
Neymar Jr,Brazil,Barcelona,2014-15,Round Of 16,Napoli,80,Header,Away,1
Joshua Kimmich,Germany,Bayern Munich,2023-24,Round Of 16,Manchester City,85,Left Foot,Away,2
Vinicius Junior,Brazil,Real Madrid,2015-16,Final,Napoli,31,Header,Away,2
Bernardo Silva,Portugal,Manchester City,2022-23,Round Of 16,Juventus,15,Left Foot,Home,1
Didier Drogba,Ivory Coast,Chelsea,2013-14,Group Stage,Juventus,84,Penalty,Home,1
Memphis Depay,Netherlands,Barcelona,2016-17,Round Of 16,Arsenal,53,Right Foot,Home,1
Julian Alvarez,Argentina,Manchester City,2014-15,Round Of 16,Paris Saint-Germain,63,Free Kick,Home,3
