Player,Nationality,Club,Season,Round,Opponent,Minute,Goal_Type,Venue,Goals_In_Match
Kevin De Bruyne,Belgium,Manchester City,2013-14,R16,Chelsea,82,Left Foot,Home ,1
Erling Haaland,Norway,Manchester City,2022-23,Final,,89,Left Foot,AWAY,1
Sergio Aguero,Argentina,Manchester City,2020-21,Round of 16,Barcelona,40,PENALTY,home,2
Erling Haaland,Norway,Manchester City,2023-24,R16,Arsenal,36,Right Foot, Away,2
Memphis Depay,Netherlands,Barcelona,2013-14,Final,Manchester United,30,Left Foot,AWAY,3
Alessandro Del Piero,Italy,Juventus,2012-13,Group stage,Liverpool,48,Free Kick,Home,1
Fernando Torres,Spain,Liverpool,2020-21,R16,Benfica,17,Right Foot,Home ,2
Harry Kane,England,Tottenham Hotspur,2021-22,GROUP STAGE,Real Madrid,61,Penalty, Away,3
Luis Suarez,Uruguay,Barcelona,2012-13,Semi-final,Inter Milan,14,Header,Away,3
Bukayo Saka,England,Arsenal,2015-16,Semi-final,Atletico Madrid,54,PENALTY, Away,3
Thomas Muller,Germany,Bayern Munich,2020-21,R16,Arsenal,21,Header,home,1
Joshua Kimmich,Germany,Bayern Munich,2016-17,Group Stage,Napoli,64,PENALTY,home,2
Vinicius Junior,Brazil,Real Madrid,2021-22,Semi-final,Inter Milan,67,Header,Home,1
Mohamed Salah,Egypt,Liverpool,2010-11,Round of 16,Real Madrid,36,Right Foot, Away,3
Riyad Mahrez,Algeria,Manchester City,2015-16,Semi-final,Borussia Dortmund,88,header, Away,2
alfredo di stefano,Argentina,Real Madrid,2013-14,Round of 16,Paris Saint-Germain,66,Free Kick,Home ,3
Didier Drogba,Ivory Coast,Chelsea,2022-23,Group Stage,Manchester City,20,Header,home,1
Edinson Cavani,Uruguay,Paris Saint-Germain,2010-11,Final,Bayern Munich,60,Right Foot,Away,3
Filippo Inzaghi,Italy,AC Milan,2019-20,Quarter-final,Atletico Madrid,37,Header,AWAY,2
Harry Kane,England,Tottenham Hotspur,2019-20,GROUP STAGE,Napoli,91,Header,Home,1
Bukayo Saka,England,Arsenal  ,2016-17,Quarter-final,Paris Saint-Germain,53',Header,Away,2
Karim Benzema,France,Real Madrid,2014-15,Group stage,Manchester City,50,right foot,Away,1
Neymar Jr,Brazil,Barcelona,2013-14,Semi-final,,92,Header,Home,2
Karim Benzema,France,Real Madrid,2018-19,Group Stage,Atletico Madrid,22,right foot,AWAY,1
Andriy Shevchenko,Ukraine,AC Milan,2015-16,Group Stage,Napoli,10,right foot,Home,1
Toni Kroos,Germany,Real Madrid,2012-13,GROUP STAGE,Manchester United,45,right foot,AWAY,2
Sadio Mane,Senegal,Liverpool,2018-19,R16,Inter Milan,71,Header,Home ,1
Edinson Cavani,Uruguay,Paris Saint-Germain,2020-21,GROUP STAGE,Real Madrid,7,Free Kick,Home ,1
Kevin De Bruyne,,Manchester City,2020-21,GROUP STAGE,,65,header,home,1
Didier Drogba,Ivory Coast,Chelsea,2015-16,GROUP STAGE,Bayern Munich,78,right foot,AWAY,3
Edinson Cavani,Uruguay,Paris Saint-Germain,2011-12,Final,Liverpool,73,right foot,home,1
Toni Kroos,Germany,Real Madrid,2023-24,R16,Real Madrid,79,PENALTY,home,2
Joshua Kimmich,Germany,Bayern Munich,2015-16,GROUP STAGE,Paris Saint-Germain,12,Free Kick,Away,1
Alfredo Di Stefano,Argentina,Real Madrid,2018-19,Quarter-final,Borussia Dortmund,4,Right Foot, Away,3
Harry Kane,England,Bayern Munich,2014-15,GROUP STAGE,Atletico Madrid,86,header,Home,3
Kevin De Bruyne,Belgium,Manchester City,2018-19,Group stage,Juventus,52,Free Kick,Home,1
Neymar Jr,Brazil,Barcelona,2023-24,R16,Barcelona,54,header,home,1
Cristiano Ronaldo,Portugal,Juventus,2011-12,Round of 16,Barcelona,74,header,Away,3
Zlatan Ibrahimovic,Sweden,AC Milan,2011-12,Group Stage,Tottenham Hotspur,52,header,Away,1
Ousmane Dembele,France,Barcelona,2016-17,Final,Napoli,63,Header,Away,1
  BUKAYO SAKA  ,England,Arsenal,2021-22,Round of 16,Bayern Munich,55,Left Foot,AWAY,1
Sergio Aguero,Argentina,Manchester City,2010-11,Group stage,Barcelona,79,Penalty, Away,2
Luka Modric,Croatia,Real Madrid,2010-11,Quarter-final,Manchester City,1,Right Foot,Home,3
  KEVIN DE BRUYNE  ,Belgium,Manchester City,2021-22,Group Stage,,87,Header, Away,2
edinson cavani,Uruguay,Paris Saint-Germain,2016-17,GROUP STAGE,Paris Saint-Germain,39,right foot,Home,1
Paulo Dybala,Argentina,Juventus,2017-18,R16,Borussia Dortmund,18,PENALTY,Away,2
Robert Lewandowski,Poland,Bayern Munich,2017-18,Round of 16,Atletico Madrid,15,Penalty,Home,1
Victor Osimhen,Nigeria,Napoli,2010-11,GROUP STAGE,Borussia Dortmund,64,PENALTY,Away,1
  MOHAMED SALAH  ,Egypt,Liverpool,2014-15,GROUP STAGE,Manchester United,76,right foot, Away,1
Alfredo Di Stefano,Argentina,Real Madrid,2021-22,GROUP STAGE,Liverpool,54,right foot,AWAY,2
Mohamed Salah,Egypt,Liverpool,2016-17,Group Stage,Sevilla,78,Free Kick,Away,2
Kylian Mbappe,France,Paris Saint-Germain,2018-19,Final,Manchester City,44',right foot, Away,1
Vinicius Junior,Brazil,Real Madrid,2019-20,Final,AC Milan,82,PENALTY, Away,1
Joshua Kimmich,Germany,Bayern Munich,2023-24,Group stage,Benfica,,Left Foot,AWAY,2
Wayne Rooney,England,Manchester United,2021-22,R16,,26,Free Kick,Home,1
julian alvarez,Argentina,Manchester City,2014-15,R16,Manchester City,25,right foot,Home,1
Sergio Aguero,Argentina,Manchester City,2022-23,R16,Barcelona,80,right foot,Away,3
Filippo Inzaghi,,AC Milan,2021-22,Group Stage,Real Madrid,30,Penalty, Away,2
Zlatan Ibrahimovic,Sweden,Inter Milan,2018-19,Round of 16,Borussia Dortmund,68,Penalty,home,2
Jude Bellingham,England,Real Madrid,2017-18,Quarter-final,Borussia Dortmund,61,Left Foot,Home,1
Neymar Jr,Brazil,Paris Saint-Germain,2023-24,Group Stage,Liverpool,66,Header,home,2
Bukayo Saka,England,Arsenal,2011-12,Final,,5,Right Foot, Away,1
Luka Modric,Croatia,Real Madrid,2023-24,Group Stage,Inter Milan,46,Right Foot, Away,1
Memphis Depay,Netherlands,Barcelona,2022-23,Semi-final,Manchester City,70,Left Foot,Home ,1
Fernando Torres,Spain,Liverpool,2012-13,Round of 16,Manchester United,58,header,home,1
Kevin De Bruyne,Belgium,Manchester City,2023-24,GROUP STAGE,,92,Right Foot,home,3
Fernando Torres,Spain,Liverpool,2016-17,Round of 16,Borussia Dortmund,65,right foot,AWAY,2
Victor Osimhen,Nigeria,Napoli,2012-13,Quarter-final,Manchester United,29,Free Kick,Away,1
Raul Gonzalez,Spain,Real Madrid,2016-17,Group stage,Juventus,54,header,Away,1
Luis Suarez,Uruguay,Barcelona,2021-22,Group Stage,Arsenal,48,header,Away,1
Didier Drogba,Ivory Coast,Chelsea,2011-12,Group Stage,Porto,7,right foot,Away,1
Mohamed Salah,Egypt,Liverpool,2017-18,Final,Porto,38,Left Foot,Home ,1
Alfredo Di Stefano,Argentina,Real Madrid,2019-20,Group stage,Barcelona,95,Left Foot, Away,1
Bukayo Saka,England,Arsenal,2018-19,Round of 16,Chelsea,58,Penalty,Away,1
  MOHAMED SALAH  ,Egypt,Liverpool,2020-21,GROUP STAGE,Barcelona,52,PENALTY,AWAY,1
Fernando Torres,Spain,Liverpool,2010-11,Round of 16,Chelsea,52,PENALTY,Away,3
victor osimhen,Nigeria,Napoli  ,2011-12,Final,Napoli,8,right foot,AWAY,1
Ruud van Nistelrooy,Netherlands,Real Madrid,2018-19,Quarter-final,Napoli,51,Penalty,Away,1
Luis Suarez,Uruguay,Barcelona,2010-11,Semi-final,Ajax,54,Header,home,1
Bernardo Silva,Portugal,Manchester City,2022-23,Round of 16,Tottenham Hotspur,70,PENALTY, Away,1
Neymar Jr,Brazil,Barcelona,2015-16,Final,,51,Free Kick,AWAY,3
Wayne Rooney,England,Manchester United,2013-14,Quarter-final,Inter Milan,27,right foot, Away,2
Kevin De Bruyne,Belgium,Manchester City,2018-19,Round of 16,Tottenham Hotspur,18,Left Foot,home,2
Harry Kane,England,Bayern Munich  ,2013-14,Semi-final,Manchester City,77,Left Foot,AWAY,2
Jude Bellingham,England,Real Madrid,2014-15,Semi-final,Inter Milan,1,PENALTY,Away,2
Luis Suarez,Uruguay,Atletico Madrid,2023-24,Semi-final,Porto,3,Right Foot,AWAY,1
Zlatan Ibrahimovic,Sweden,AC Milan,2013-14,Final,Benfica,78,Header, Away,1
Ruud van Nistelrooy,Netherlands,Manchester United,2010-11,Semi-final,Ajax,91,header,AWAY,2
Toni Kroos,,Real Madrid,2018-19,Final,Arsenal,74,Penalty, Away,3
Edinson Cavani,Uruguay,Paris Saint-Germain,2012-13,R16,Atletico Madrid,25,Header,Away,1
Raul Gonzalez,Spain,Real Madrid,2012-13,Group Stage,Chelsea,21,Left Foot,Away,1
Edinson Cavani,Uruguay,Paris Saint-Germain,2018-19,Quarter-final,,60,PENALTY,Home ,3
Bukayo Saka,England,Arsenal,2013-14,Group Stage,Manchester City,28,Free Kick, Away,1
Ousmane Dembele,France,Barcelona,2014-15,Final,Liverpool,43,PENALTY,AWAY,3
Joshua Kimmich,Germany,Bayern Munich,2016-17,Final,Manchester United,64,header,home,1
Edinson Cavani,Uruguay,Paris Saint-Germain,2016-17,Group Stage,Napoli,66,header,Home ,1
Thomas Muller,Germany,Bayern Munich,2016-17,Group stage,Paris Saint-Germain,31,header,Home,1
Antoine Griezmann,France,Atletico Madrid,2021-22,Semi-final,Tottenham Hotspur,59,right foot,Home ,2
Gareth Bale,Wales,Real Madrid,2011-12,GROUP STAGE,Manchester United,2,Free Kick,Home ,1
Memphis Depay,Netherlands,Barcelona,2013-14,R16,,5,right foot,home,1
Alessandro Del Piero,Italy,Juventus,2017-18,Group Stage,Inter Milan,13,Header,Home,1
Alfredo Di Stefano,Argentina,Real Madrid,2019-20,Final,Manchester United,49,Left Foot,Away,1
Cristiano Ronaldo,Portugal,Manchester United,2010-11,Semi-final,Borussia Dortmund,55,PENALTY,Away,2
Luis Suarez,Uruguay,Barcelona,2012-13,Group Stage,,13,Penalty,Home ,2
Bernardo Silva,Portugal,Manchester City,2020-21,Group stage,Paris Saint-Germain,8,Penalty,Home,1
Lionel Messi,Argentina,Paris Saint-Germain,2018-19,Round of 16,Tottenham Hotspur,10,Penalty, Away,2
Toni Kroos,Germany,Real Madrid,2019-20,Final,Tottenham Hotspur,11,Right Foot,Home ,2
Sergio Aguero,Argentina,Manchester City,2010-11,Semi-final,Tottenham Hotspur,84,header,Home,3
Andriy Shevchenko,Ukraine,AC Milan,2012-13,GROUP STAGE,Manchester City,79,Free Kick,home,1
Karim Benzema,France,Real Madrid,2010-11,GROUP STAGE,Real Madrid,60,Header,Home,2
Harry Kane,England,Bayern Munich,2011-12,Semi-final,,28,header,Home,2
  MOHAMED SALAH  ,Egypt,Liverpool,2013-14,Quarter-final,Borussia Dortmund,1,Header,Away,1
Mohamed Salah,Egypt,Liverpool,2018-19,Group stage,Real Madrid,39,Free Kick,Away,1
Andriy Shevchenko,Ukraine,AC Milan,2016-17,GROUP STAGE,,54,PENALTY,Away,1
Paulo Dybala,Argentina,Juventus  ,2011-12,Group Stage,Inter Milan,30,Penalty,Away,1
Bukayo Saka,England,Arsenal,2013-14,R16,Barcelona,59,PENALTY,AWAY,2
Harry Kane,England,Tottenham Hotspur,2016-17,Group Stage,,85,Header,AWAY,1
antoine griezmann,France,Atletico Madrid,2021-22,Group stage,Manchester United,92,header,Home,3
antoine griezmann,France,Atletico Madrid,2018-19,Final,Atletico Madrid,15,Penalty,home,2
Ruud van Nistelrooy,Netherlands,Manchester United,2021-22,Final,Benfica,60,Left Foot,Home ,1
Joshua Kimmich,Germany,Bayern Munich,2017-18,Semi-final,Manchester United,36,Right Foot,Away,3
Erling Haaland,Norway,Manchester City,2019-20,Round of 16,Real Madrid,,PENALTY,home,1
Victor Osimhen,Nigeria,Napoli  ,2017-18,Quarter-final,Atletico Madrid,10,Free Kick,Away,1
Fernando Torres,Spain,Liverpool,2020-21,Round of 16,Ajax,19,header,Home ,2
Kevin De Bruyne,Belgium,Manchester City,2021-22,Group Stage,Real Madrid,34,Right Foot,Home,1
Mohamed Salah,Egypt,Liverpool,2022-23,Final,Ajax,46,right foot, Away,1
Kylian Mbappe,France,Paris Saint-Germain,2018-19,Final,Chelsea,29,Left Foot,Home,2
Riyad Mahrez,Algeria,Manchester City,2021-22,Quarter-final,Inter Milan,25,Header,Away,1
Neymar Jr,Brazil,Barcelona  ,2023-24,R16,Porto,70,Free Kick,Away,1
Alessandro Del Piero,Italy,Juventus,2014-15,Semi-final,,82,Free Kick,Away,1
Sadio Mane,Senegal,Liverpool,2015-16,Group Stage,Manchester City,39,PENALTY,Home,3
Ousmane Dembele,France,Paris Saint-Germain,2022-23,Quarter-final,Manchester United,37,Penalty, Away,2
Karim Benzema,France,Real Madrid,2019-20,Round of 16,Ajax,34,Right Foot,AWAY,2
Neymar Jr,Brazil,Paris Saint-Germain,2020-21,Group stage,,59,Header,home,1
Luis Suarez,Uruguay,Barcelona,2018-19,Final,Bayern Munich,8,Free Kick,AWAY,2
Filippo Inzaghi,Italy,AC Milan,2011-12,Group stage,Bayern Munich,86,header,AWAY,1
Fernando Torres,Spain,Chelsea,2014-15,Final,Chelsea,49,right foot, Away,1
Alessandro Del Piero,Italy,Juventus,2012-13,Group stage,Liverpool,88,Left Foot,home,1
Karim Benzema,France,Real Madrid,2012-13,Group Stage,Tottenham Hotspur,61,Free Kick,Away,1
Riyad Mahrez,Algeria,Manchester City,2023-24,Semi-final,,95,Penalty,home,1
Riyad Mahrez,Algeria,Manchester City,2020-21,Group stage,Barcelona,50,Header, Away,2
Sergio Aguero,Argentina,Manchester City,2022-23,Group stage,Napoli,53,right foot,Home ,1
Cristiano Ronaldo,Portugal,Juventus,2014-15,Semi-final,,80,header,Away,2
Erling Haaland,Norway,Borussia Dortmund,2012-13,R16,Paris Saint-Germain,79,header, Away,3
Thomas Muller,Germany,Bayern Munich,2020-21,Group stage,Borussia Dortmund,79,Header,Home ,1
Lionel Messi,Argentina,Barcelona,2017-18,Quarter-final,Real Madrid,21,Header,home,1
Sadio Mane,Senegal,Bayern Munich,2021-22,GROUP STAGE,Bayern Munich,25,PENALTY,Home,1
Didier Drogba,Ivory Coast,Chelsea,2015-16,GROUP STAGE,Porto,49,Penalty,Away,3
Bukayo Saka,England,Arsenal,2018-19,Group stage,AC Milan,88,Free Kick,AWAY,1
Vinicius Junior,Brazil,Real Madrid,2022-23,Quarter-final,Liverpool,34,Penalty,AWAY,3
Joshua Kimmich,Germany,Bayern Munich,2022-23,Group Stage,AC Milan,58,Penalty,Away,3
Memphis Depay,Netherlands,Barcelona,2012-13,GROUP STAGE,Paris Saint-Germain,79,Free Kick,Home ,2
Erling Haaland,Norway,Manchester City,2018-19,Final,Manchester United,27,Penalty,Home ,1
Luka Modric,Croatia,Real Madrid,2013-14,Final,AC Milan,23,Penalty, Away,1
Thomas Muller,Germany,Bayern Munich,2020-21,R16,Arsenal,64,PENALTY,AWAY,1
Ruud van Nistelrooy,Netherlands,Real Madrid,2020-21,R16,Borussia Dortmund,38,Penalty,Away,1
Luka Modric,Croatia,Real Madrid,2015-16,GROUP STAGE,Sevilla,33,Penalty,Home,1
Didier Drogba,Ivory Coast,Chelsea,2017-18,Quarter-final,Bayern Munich,24,Penalty,Home ,1
Bernardo Silva,Portugal,Manchester City,2013-14,Semi-final,Borussia Dortmund,80,Free Kick, Away,2
Zlatan Ibrahimovic,Sweden,Barcelona,2021-22,Final,Inter Milan,43,PENALTY, Away,1
Ousmane Dembele,France,Barcelona,2016-17,Group stage,,71,Left Foot,home,1
Didier Drogba,Ivory Coast,Chelsea,2013-14,Final,AC Milan,66,Right Foot,Home,1
Gareth Bale,Wales,Real Madrid,2019-20,Semi-final,Juventus,61,Right Foot,AWAY,1
edinson cavani,Uruguay,Paris Saint-Germain  ,2019-20,Semi-final,Tottenham Hotspur,49',Free Kick,home,1
Karim Benzema,France,Real Madrid,2019-20,GROUP STAGE,Manchester City,1,Penalty,AWAY,1
  LIONEL MESSI  ,Argentina,Paris Saint-Germain,2020-21,Semi-final,Benfica,28,right foot,Away,1
Ousmane Dembele,France,Paris Saint-Germain,2015-16,Group Stage,Benfica,64,PENALTY,AWAY,1
Paulo Dybala,Argentina,Juventus,2018-19,Group stage,Inter Milan,34,Right Foot,AWAY,1
Andriy Shevchenko,Ukraine,Chelsea,2012-13,Group stage,Benfica,76,right foot,Home ,3
  GARETH BALE  ,Wales,Real Madrid,2017-18,Final,Napoli,40,right foot,Home,1
Joshua Kimmich,Germany,Bayern Munich,2013-14,Final,Manchester United,27,header,home,2
Joshua Kimmich,Germany,Bayern Munich,2011-12,GROUP STAGE,Sevilla,78,Header,Home ,1
Neymar Jr,Brazil,Barcelona,2012-13,R16,Sevilla,26,header, Away,2
Zlatan Ibrahimovic,Sweden,Barcelona,2010-11,Group stage,Bayern Munich,29,header, Away,1
Antoine Griezmann,France,Atletico Madrid,2020-21,Round of 16,Porto,78,Left Foot,AWAY,1
Cristiano Ronaldo,Portugal,Real Madrid,2018-19,Quarter-final,Sevilla,54,Header, Away,3
Antoine Griezmann,France,Atletico Madrid,2022-23,Round of 16,Chelsea,84,Right Foot,Home ,1
Lionel Messi,Argentina,Paris Saint-Germain,2014-15,R16,Benfica,61,Header,AWAY,1
Kylian Mbappe,France,Real Madrid,2021-22,Quarter-final,Liverpool,28,Free Kick, Away,1
Wayne Rooney,England,Manchester United,2023-24,Round of 16,Atletico Madrid,3,Free Kick, Away,1
Paulo Dybala,Argentina,Juventus,2019-20,Group Stage,Tottenham Hotspur,44,Right Foot,AWAY,2
Zlatan Ibrahimovic,Sweden,Inter Milan,2021-22,Final,,94,Free Kick,Home,1
Fernando Torres,Spain,Liverpool,2013-14,Group Stage,AC Milan,64,header,Home,1
Fernando Torres,Spain,Liverpool,2023-24,Round of 16,AC Milan,79,header,AWAY,1
fernando torres,Spain,Chelsea  ,2010-11,Semi-final,Atletico Madrid,64,Free Kick,home,1
Sergio Aguero,Argentina,Manchester City,2020-21,Semi-final,Juventus,19,Right Foot,home,1
Neymar Jr,Brazil,Barcelona,2010-11,Quarter-final,Atletico Madrid,3,Header,home,2
Erling Haaland,Norway,Borussia Dortmund,2015-16,R16,Manchester United,89,header,AWAY,3
  CRISTIANO RONALDO  ,Portugal,Juventus,2014-15,Group Stage,Porto,83,Free Kick, Away,1
Zlatan Ibrahimovic,Sweden,Paris Saint-Germain,2016-17,Group Stage,Napoli,22,right foot,Home,1
Jude Bellingham,England,Real Madrid,2015-16,Final,AC Milan,82,right foot,home,2
Robert Lewandowski,Poland,Borussia Dortmund,2023-24,Group stage,Benfica,6,Right Foot, Away,1
Memphis Depay,Netherlands,Barcelona,2022-23,Final,Napoli,25,right foot, Away,2
Andriy Shevchenko,,Chelsea,2011-12,GROUP STAGE,Paris Saint-Germain,71,Free Kick,home,1
Thomas Muller,Germany,Bayern Munich,2020-21,Final,Napoli,19,Left Foot,Away,3
Julian Alvarez,Argentina,Manchester City,2011-12,Semi-final,Real Madrid,49,Right Foot, Away,1
Gareth Bale,Wales,Real Madrid,2019-20,Final,Chelsea,94,Right Foot,Home,1
  THOMAS MULLER  ,Germany,Bayern Munich,2019-20,Final,AC Milan,72,right foot,Away,1
  THOMAS MULLER  ,Germany,Bayern Munich,2019-20,Final,Ajax,80,header,Home,2
Thomas Muller,Germany,Bayern Munich,2022-23,Final,,9,right foot,AWAY,1
Filippo Inzaghi,Italy,AC Milan,2020-21,Final,Real Madrid,37,Header,Home,1
Bernardo Silva,Portugal,Manchester City,2022-23,Quarter-final,Ajax,56,Right Foot,Home,1
Cristiano Ronaldo,Portugal,Manchester United,2014-15,Semi-final,Tottenham Hotspur,27,Header,AWAY,1
Toni Kroos,Germany,Real Madrid,2010-11,Group stage,Manchester United,25,Left Foot,Away,3
Luis Suarez,Uruguay,Atletico Madrid,2019-20,Final,Paris Saint-Germain,89,Left Foot,home,2
Kevin De Bruyne,Belgium,Manchester City,2010-11,Quarter-final,Arsenal,64,Header, Away,1
Jude Bellingham,England,Real Madrid,2017-18,Quarter-final,Porto,3,Penalty, Away,1
Didier Drogba,Ivory Coast,Chelsea,2014-15,Round of 16,Sevilla,19,Right Foot, Away,3
Memphis Depay,Netherlands,Barcelona,2014-15,Round of 16,Juventus,27,Header,Home ,1
Sergio Aguero,Argentina,Manchester City,2015-16,Quarter-final,Paris Saint-Germain,23,Penalty,Home ,3
Wayne Rooney,England,Manchester United,2016-17,Group stage,AC Milan,26,PENALTY,Home ,1
Filippo Inzaghi,Italy,AC Milan,2018-19,Round of 16,Ajax,31,Left Foot,home,2
Neymar Jr,Brazil,Barcelona,2012-13,Round of 16,Ajax,23,Penalty,Away,1
Edinson Cavani,Uruguay,Paris Saint-Germain,2023-24,Final,Paris Saint-Germain,76,Penalty,Home,2
Victor Osimhen,Nigeria,Napoli,2010-11,Group Stage,,48,Left Foot,Home ,2
Ruud van Nistelrooy,Netherlands,Real Madrid,2023-24,GROUP STAGE,Manchester United,83,right foot,Home ,2
Neymar Jr,Brazil,Barcelona,2014-15,Group Stage,Atletico Madrid,13,PENALTY,Away,1
Luis Suarez,Uruguay,Atletico Madrid,2011-12,Group Stage,Benfica,75,Left Foot,Home,1
  WAYNE ROONEY  ,England,Manchester United,2014-15,Group Stage,Napoli,83,Penalty,Away,1
Joshua Kimmich,Germany,Bayern Munich,2020-21,R16,Juventus,95,Penalty, Away,1
Toni Kroos,,Real Madrid,2022-23,Quarter-final,Ajax,61,Header, Away,2
Antoine Griezmann,France,Atletico Madrid,2015-16,Semi-final,Napoli,33,right foot, Away,1
Cristiano Ronaldo,Portugal,Manchester United,2020-21,Group stage,Borussia Dortmund,23,PENALTY,Away,3
Erling Haaland,Norway,Manchester City,2019-20,Round of 16,Barcelona,79,header,Home,2
Andriy Shevchenko,Ukraine,Chelsea,2017-18,Group Stage,Arsenal,35,header,Away,3
Gareth Bale,Wales,Real Madrid,2017-18,Quarter-final,Paris Saint-Germain,42',PENALTY, Away,3
Andriy Shevchenko,Ukraine,AC Milan,2022-23,GROUP STAGE,Chelsea,71,PENALTY,home,1
  SADIO MANE  ,Senegal,Bayern Munich,2011-12,R16,Inter Milan,75,PENALTY,Away,2
Ruud van Nistelrooy,Netherlands,Real Madrid,2020-21,Quarter-final,Benfica,8,Header,home,3
Cristiano Ronaldo,Portugal,Real Madrid,2015-16,Quarter-final,Real Madrid,5,Penalty,AWAY,2
Sergio Aguero,Argentina,Manchester City,2017-18,Quarter-final,Manchester United,23,Penalty,home,1
Alfredo Di Stefano,Argentina,Real Madrid,2020-21,Quarter-final,Bayern Munich,3,Left Foot,home,1
Robert Lewandowski,Poland,Barcelona,2020-21,R16,Real Madrid,58,header,Home ,3
Toni Kroos,Germany,Real Madrid,2019-20,Round of 16,Manchester City,44,Penalty,Home ,1
Alfredo Di Stefano,Argentina,Real Madrid,2020-21,Round of 16,Tottenham Hotspur,44,Penalty,home,1
Ruud van Nistelrooy,Netherlands,Real Madrid,2018-19,Group stage,,90,Free Kick,Away,1
Didier Drogba,Ivory Coast,Chelsea,2012-13,Group Stage,Sevilla,77,right foot,AWAY,1
julian alvarez,Argentina,Manchester City,2013-14,Group stage,Chelsea,10,Penalty,AWAY,2
Ruud van Nistelrooy,Netherlands,Real Madrid,2021-22,GROUP STAGE,Barcelona,12,Penalty,Away,1
Fernando Torres,Spain,Chelsea,2019-20,Group Stage,Napoli,40,Right Foot,Home ,1
Raul Gonzalez,Spain,Real Madrid,2021-22,Final,Barcelona,61,header,AWAY,2
  VINICIUS JUNIOR  ,Brazil,Real Madrid,2023-24,GROUP STAGE,Chelsea,4,header, Away,1
Julian Alvarez,Argentina,Manchester City,2017-18,GROUP STAGE,Tottenham Hotspur,72,Header,Home ,3
